date,time_slot,slot_index,G1_kw,G2_kw,G3_kw,G4_kw,G5_kw,G1_kwh,G2_kwh,G3_kwh,G4_kwh,G5_kwh,generation_total_kwh,L1_kw,L2_kw,L3_kw,L4_kw,L5_kw,L1_kwh,L2_kwh,L3_kwh,L4_kwh,L5_kwh,load_total_kwh,contract_transfer_kwh,contract_matched_kwh,storage_plan_kwh,storage_actual_kwh,storage_charge_kwh,storage_discharge_kwh,prev_storage_balance_kwh,end_storage_balance_kwh,transfer_success_kwh,surplus_kwh,node_發電端_kwh,node_儲能餘額_kwh,node_合約數量_kwh,node_儲能_kwh,node_用電端_kwh,node_用電端轉移量_kwh,node_成功匹配_kwh,node_儲能存入_kwh,node_未匹配_kwh,node_餘電_kwh
2026-05-14,04:00,16,5.04,3.696,3.024,2.688,2.352,1.26,0.924,0.756,0.672,0.588,4.2,12.444,10.668,8.888,7.112,5.336,3.111,2.667,2.222,1.778,1.334,11.112,3.293,3.36,0,0,0,0.42,6,6,3.78,0.756,4.2,6,3.36,0.42,11.112,0.42,3.78,0,6.996,0.756
2026-05-14,04:15,17,5.336,3.912,3.2,2.844,2.488,1.334,0.978,0.8,0.711,0.622,4.445,13.172,11.288,9.408,7.528,5.644,3.293,2.822,2.352,1.882,1.411,11.76,3.485,3.556,0,0,0,0.445,6,6,4.001,0.8,4.445,6,3.556,0.445,11.76,0.445,4.001,0,7.403,0.8
2026-05-14,04:30,18,5.668,4.156,3.4,3.024,2.652,1.417,1.039,0.85,0.756,0.663,4.725,14,12,10,8,6.004,3.5,3,2.5,2,1.501,12.501,3.704,3.78,0,0,0,0.472,6,6,4.252,0.851,4.725,6,3.78,0.472,12.501,0.472,4.252,0,7.871,0.851
2026-05-14,04:45,19,4.956,3.636,2.972,2.644,2.312,1.239,0.909,0.743,0.661,0.578,4.13,12.24,10.488,8.74,6.992,5.248,3.06,2.622,2.185,1.748,1.312,10.927,3.238,3.304,0,0,0,0.413,6,6,3.717,0.743,4.13,6,3.304,0.413,10.927,0.413,3.717,0,6.88,0.743
2026-05-14,05:00,20,4.5,3.3,2.7,2.4,2.096,1.125,0.825,0.675,0.6,0.524,3.749,13.316,11.416,9.512,7.612,5.708,3.329,2.854,2.378,1.903,1.427,11.891,2.939,2.999,0,0,0,0.375,6,6,3.374,0.675,3.749,6,2.999,0.375,11.891,0.375,3.374,0,8.217,0.675
2026-05-14,05:15,21,5.28,3.872,3.168,2.816,2.468,1.32,0.968,0.792,0.704,0.617,4.401,15.636,13.4,11.168,8.932,6.7,3.909,3.35,2.792,2.233,1.675,13.959,3.451,3.521,0,0,0,0.44,6,6,3.961,0.792,4.401,6,3.521,0.44,13.959,0.44,3.961,0,9.646,0.792
2026-05-14,05:30,22,5.476,4.016,3.288,2.92,2.556,1.369,1.004,0.822,0.73,0.639,4.564,16.212,13.896,11.58,9.264,6.952,4.053,3.474,2.895,2.316,1.738,14.476,3.578,3.651,0,0,0,0.456,6,6,4.107,0.822,4.564,6,3.651,0.456,14.476,0.456,4.107,0,10.004,0.822
2026-05-14,05:45,23,4.304,3.156,2.58,2.296,2.008,1.076,0.789,0.645,0.574,0.502,3.586,12.74,10.92,9.1,7.28,5.456,3.185,2.73,2.275,1.82,1.364,11.374,2.812,2.869,0,0,0,0.359,6,6,3.228,0.645,3.586,6,2.869,0.359,11.374,0.359,3.228,0,7.859,0.645
2026-05-14,06:00,24,17.748,13.016,10.648,9.464,8.284,4.437,3.254,2.662,2.366,2.071,14.79,20.192,17.308,14.424,11.54,8.656,5.048,4.327,3.606,2.885,2.164,18.03,11.595,11.832,0,0,0,1.479,6,6,13.311,2.662,14.79,6,11.832,1.479,18.03,1.479,13.311,0,3.536,2.662
2026-05-14,06:15,25,14.552,10.672,8.732,7.76,6.796,3.638,2.668,2.183,1.94,1.699,12.128,16.56,14.192,11.828,9.464,7.096,4.14,3.548,2.957,2.366,1.774,14.785,9.508,9.702,0,0,0,1.213,6,6,10.915,2.183,12.128,6,9.702,1.213,14.785,1.213,10.915,0,2.9,2.183
2026-05-14,06:30,26,17.156,12.58,10.292,9.152,8.008,4.289,3.145,2.573,2.288,2.002,14.297,19.52,16.732,13.944,11.156,8.364,4.88,4.183,3.486,2.789,2.091,17.429,11.209,11.438,0,0,0,1.43,6,6,12.868,2.573,14.297,6,11.438,1.43,17.429,1.43,12.868,0,3.417,2.573
2026-05-14,06:45,27,9.7,7.116,5.82,5.176,4.528,2.425,1.779,1.455,1.294,1.132,8.085,11.04,9.46,7.884,6.308,4.732,2.76,2.365,1.971,1.577,1.183,9.856,6.339,6.468,0,0,0,0.809,6,6,7.277,1.455,8.085,6,6.468,0.809,9.856,0.809,7.277,0,1.932,1.455
2026-05-14,07:00,28,26.204,19.216,15.724,13.976,12.228,6.551,4.804,3.931,3.494,3.057,21.837,22.12,18.96,15.8,12.64,9.476,5.53,4.74,3.95,3.16,2.369,19.749,17.121,17.47,0,0,0,2.184,6,6,19.654,2.278,21.837,6,17.47,2.184,19.749,2.184,19.654,0,0,2.278
2026-05-14,07:15,29,23.676,17.36,14.204,12.628,11.048,5.919,4.34,3.551,3.157,2.762,19.729,19.984,17.128,14.272,11.42,8.564,4.996,4.282,3.568,2.855,2.141,17.842,15.467,15.783,0,0,0,1.973,6,6,17.756,2.059,19.729,6,15.783,1.973,17.842,1.973,17.756,0,0,2.059
2026-05-14,07:30,30,23.492,17.228,14.096,12.528,10.968,5.873,4.307,3.524,3.132,2.742,19.578,19.832,16.996,14.164,11.332,8.5,4.958,4.249,3.541,2.833,2.125,17.706,15.349,15.662,0,0,0,1.958,6,6,17.62,2.044,19.578,6,15.662,1.958,17.706,1.958,17.62,0,0,2.044
2026-05-14,07:45,31,16.988,12.456,10.192,9.06,7.928,4.247,3.114,2.548,2.265,1.982,14.156,14.34,12.292,10.244,8.192,6.144,3.585,3.073,2.561,2.048,1.536,12.803,11.098,11.325,0,0,0,1.416,6,6,12.741,1.477,14.156,6,11.325,1.416,12.803,1.416,12.741,0,0,1.477
2026-05-14,08:00,32,33.768,24.764,20.26,18.008,15.76,8.442,6.191,5.065,4.502,3.94,28.14,22.14,18.976,15.816,12.652,9.488,5.535,4.744,3.954,3.163,2.372,19.768,22.062,22.512,0,0,0,2.814,6,6,25.326,2.814,28.14,6,22.512,2.814,19.768,2.814,25.326,0,0,2.814
2026-05-14,08:15,33,28.704,21.048,17.22,15.308,13.396,7.176,5.262,4.305,3.827,3.349,23.919,18.82,16.132,13.444,10.752,8.064,4.705,4.033,3.361,2.688,2.016,16.803,18.752,19.135,0,0,0,2.392,6,6,21.527,2.392,23.919,6,19.135,2.392,16.803,2.392,21.527,0,0,2.392
2026-05-14,08:30,34,32.56,23.88,19.536,17.368,15.196,8.14,5.97,4.884,4.342,3.799,27.135,21.348,18.3,15.248,12.2,9.152,5.337,4.575,3.812,3.05,2.288,19.062,21.274,21.708,0,0,0,2.714,6,6,24.422,2.713,27.135,6,21.708,2.714,19.062,2.714,24.422,0,0,2.713
2026-05-14,08:45,35,25.568,18.748,15.34,13.636,11.932,6.392,4.687,3.835,3.409,2.983,21.306,16.764,14.368,11.972,9.58,7.184,4.191,3.592,2.993,2.395,1.796,14.967,16.704,17.045,0,0,0,2.131,6,6,19.176,2.13,21.306,6,17.045,2.131,14.967,2.131,19.176,0,0,2.13
2026-05-14,09:00,36,39.82,29.2,23.892,21.236,18.584,9.955,7.3,5.973,5.309,4.646,33.183,23.74,20.348,16.956,13.564,10.172,5.935,5.087,4.239,3.391,2.543,21.195,26.015,26.546,0,0,0,3.318,6,6,29.864,3.319,33.183,6,26.546,3.318,21.195,3.318,29.864,0,0,3.319
2026-05-14,09:15,37,37.46,27.472,22.476,19.98,17.48,9.365,6.868,5.619,4.995,4.37,31.217,22.332,19.14,15.952,12.76,9.572,5.583,4.785,3.988,3.19,2.393,19.939,24.475,24.974,0,0,0,3.122,6,6,28.096,3.121,31.217,6,24.974,3.122,19.939,3.122,28.096,0,0,3.121
2026-05-14,09:30,38,41.296,30.284,24.776,22.024,19.268,10.324,7.571,6.194,5.506,4.817,34.412,24.616,21.1,17.584,14.068,10.552,6.154,5.275,4.396,3.517,2.638,21.98,26.979,27.53,0,0,0,3.441,6,6,30.971,3.441,34.412,6,27.53,3.441,21.98,3.441,30.971,0,0,3.441
2026-05-14,09:45,39,28.904,21.196,17.344,15.416,13.492,7.226,5.299,4.336,3.854,3.373,24.088,17.232,14.772,12.308,9.848,7.384,4.308,3.693,3.077,2.462,1.846,15.386,18.885,19.27,0,0,0,2.409,6,6,21.679,2.409,24.088,6,19.27,2.409,15.386,2.409,21.679,0,0,2.409
2026-05-14,10:00,40,39.844,29.216,23.904,21.248,18.596,9.961,7.304,5.976,5.312,4.649,33.202,24.956,21.392,17.824,14.26,10.696,6.239,5.348,4.456,3.565,2.674,22.282,26.031,26.562,0,0,0,3.32,6,6,29.882,3.32,33.202,6,26.562,3.32,22.282,3.32,29.882,0,0,3.32
2026-05-14,10:15,41,41.376,30.34,24.824,22.068,19.308,10.344,7.585,6.206,5.517,4.827,34.479,25.916,22.212,18.512,14.808,11.108,6.479,5.553,4.628,3.702,2.777,23.139,27.031,27.583,0,0,0,3.448,6,6,31.031,3.448,34.479,6,27.583,3.448,23.139,3.448,31.031,0,0,3.448
2026-05-14,10:30,42,44.44,32.588,26.664,23.7,20.74,11.11,8.147,6.666,5.925,5.185,37.033,27.836,23.86,19.884,15.904,11.928,6.959,5.965,4.971,3.976,2.982,24.853,29.033,29.626,0,0,0,3.703,6,6,33.329,3.704,37.033,6,29.626,3.703,24.853,3.703,33.329,0,0,3.704
2026-05-14,10:45,43,27.584,20.228,16.548,14.712,12.872,6.896,5.057,4.137,3.678,3.218,22.986,17.276,14.808,12.34,9.872,7.408,4.319,3.702,3.085,2.468,1.852,15.426,18.021,18.389,0,0,0,2.299,6,6,20.688,2.298,22.986,6,18.389,2.299,15.426,2.299,20.688,0,0,2.298
2026-05-14,11:00,44,41.428,30.38,24.856,22.096,19.34,10.357,7.595,6.214,5.524,4.835,34.525,25.704,22.032,18.36,14.688,11.016,6.426,5.508,4.59,3.672,2.754,22.95,27.068,27.62,4.75,4.75,4.75,1.078,6,10.75,28.698,3.452,34.525,6,27.62,5.828,22.95,1.078,28.698,4.75,0,3.452
2026-05-14,11:15,45,40.768,29.896,24.46,21.744,19.024,10.192,7.474,6.115,5.436,4.756,33.973,25.292,21.68,18.068,14.452,10.84,6.323,5.42,4.517,3.613,2.71,22.583,26.634,27.178,4.674,4.674,4.674,1.06,10.75,15.424,28.238,3.398,33.973,10.75,27.178,5.734,22.583,1.06,28.238,4.674,0,3.398
2026-05-14,11:30,46,43.088,31.596,25.852,22.98,20.108,10.772,7.899,6.463,5.745,5.027,35.906,26.732,22.912,19.096,15.276,11.456,6.683,5.728,4.774,3.819,2.864,23.868,28.151,28.725,4.94,4.94,4.94,1.121,15.424,20.364,29.846,3.59,35.906,15.424,28.725,6.061,23.868,1.121,29.846,4.94,0,3.59
2026-05-14,11:45,47,40.436,29.652,24.26,21.564,18.872,10.109,7.413,6.065,5.391,4.718,33.696,25.088,21.504,17.92,14.336,10.748,6.272,5.376,4.48,3.584,2.687,22.399,26.418,26.957,4.636,4.636,4.636,1.052,20.364,25,28.009,3.369,33.696,20.364,26.957,5.688,22.399,1.052,28.009,4.636,0,3.369
2026-05-14,12:00,48,39.4,28.892,23.64,21.012,18.384,9.85,7.223,5.91,5.253,4.596,32.832,24.488,20.988,17.492,13.992,10.496,6.122,5.247,4.373,3.498,2.624,21.864,25.741,26.266,4.68,4.68,4.68,0.943,25,29.68,27.209,3.283,32.832,25,26.266,5.623,21.864,0.943,27.209,4.68,0,3.283
2026-05-14,12:15,49,43.012,31.54,25.808,22.94,20.068,10.753,7.885,6.452,5.735,5.017,35.842,26.732,22.912,19.096,15.276,11.456,6.683,5.728,4.774,3.819,2.864,23.868,28.101,28.674,5.109,5.109,5.109,1.029,29.68,34.789,29.703,3.584,35.842,29.68,28.674,6.138,23.868,1.029,29.703,5.109,0,3.584
2026-05-14,12:30,50,44.324,32.504,26.592,23.64,20.684,11.081,8.126,6.648,5.91,5.171,36.936,27.548,23.612,19.676,15.744,11.808,6.887,5.903,4.919,3.936,2.952,24.597,28.958,29.549,5.265,5.265,5.265,1.061,34.789,40.054,30.61,3.693,36.936,34.789,29.549,6.326,24.597,1.061,30.61,5.265,0,3.693
2026-05-14,12:45,51,37.428,27.448,22.456,19.96,17.468,9.357,6.862,5.614,4.99,4.367,31.19,23.264,19.94,16.616,13.292,9.972,5.816,4.985,4.154,3.323,2.493,20.771,24.453,24.952,4.446,4.446,4.446,0.896,40.054,44.5,25.848,3.119,31.19,40.054,24.952,5.342,20.771,0.896,25.848,4.446,0,3.119
2026-05-14,13:00,52,36.764,26.96,22.056,19.608,17.156,9.191,6.74,5.514,4.902,4.289,30.636,24.112,20.668,17.224,13.776,10.332,6.028,5.167,4.306,3.444,2.583,21.528,24.019,24.509,5.635,5.635,5.635,0.246,44.5,50.135,24.755,3.063,30.636,44.5,24.509,5.881,21.528,0.246,24.755,5.635,0,3.063
2026-05-14,13:15,53,38.044,27.896,22.824,20.288,17.756,9.511,6.974,5.706,5.072,4.439,31.702,24.952,21.384,17.82,14.256,10.696,6.238,5.346,4.455,3.564,2.674,22.277,24.855,25.362,5.831,5.831,5.831,0.255,50.135,55.966,25.617,3.17,31.702,50.135,25.362,6.086,22.277,0.255,25.617,5.831,0,3.17
2026-05-14,13:30,54,44.756,32.82,26.852,23.868,20.888,11.189,8.205,6.713,5.967,5.222,37.296,29.352,25.16,20.968,16.772,12.58,7.338,6.29,5.242,4.193,3.145,26.208,29.24,29.837,6.86,6.86,6.86,0.3,55.966,62.826,30.137,3.729,37.296,55.966,29.837,7.16,26.208,0.3,30.137,6.86,0,3.729
2026-05-14,13:45,55,40.28,29.54,24.168,21.484,18.792,10.07,7.385,6.042,5.371,4.698,33.566,26.416,22.644,18.868,15.096,11.324,6.604,5.661,4.717,3.774,2.831,23.587,26.316,26.853,6.174,6.174,6.174,0.27,62.826,69,27.123,3.356,33.566,62.826,26.853,6.444,23.587,0.27,27.123,6.174,0,3.356
2026-05-14,14:00,56,44.1,32.34,26.46,23.52,20.58,11.025,8.085,6.615,5.88,5.145,36.75,31.584,27.072,22.56,18.048,13.536,7.896,6.768,5.64,4.512,3.384,28.2,28.812,29.4,9.03,9.03,9.03,0,69,78.03,29.4,3.675,36.75,69,29.4,8.19,28.2,0,29.4,9.03,0,3.675
2026-05-14,14:15,57,37.336,27.38,22.404,19.912,17.428,9.334,6.845,5.601,4.978,4.357,31.115,26.74,22.92,19.1,15.28,11.464,6.685,5.73,4.775,3.82,2.866,23.876,24.394,24.892,7.645,7.645,7.645,0,78.03,85.675,24.892,3.112,31.115,78.03,24.892,6.933,23.876,0,24.892,7.645,0,3.112
2026-05-14,14:30,58,42.628,31.264,25.576,22.736,19.896,10.657,7.816,6.394,5.684,4.974,35.525,30.532,26.168,21.808,17.448,13.084,7.633,6.542,5.452,4.362,3.271,27.26,27.852,28.42,8.729,8.729,8.729,0,85.675,94.404,28.42,3.552,35.525,85.675,28.42,7.917,27.26,0,28.42,8.729,0,3.552
2026-05-14,14:45,59,22.932,16.816,13.76,12.232,10.7,5.733,4.204,3.44,3.058,2.675,19.11,16.424,14.076,11.732,9.384,7.04,4.106,3.519,2.933,2.346,1.76,14.664,14.982,15.288,4.696,4.696,4.696,0,94.404,99.1,15.288,1.911,19.11,94.404,15.288,4.259,14.664,0,15.288,4.696,0,1.911
2026-05-14,15:00,60,33.34,24.448,20.004,17.78,15.556,8.335,6.112,5.001,4.445,3.889,27.782,30.044,25.752,21.46,17.168,12.876,7.511,6.438,5.365,4.292,3.219,26.825,21.781,22.226,0,0,0,2.778,99.1,99.1,25.004,4.599,27.782,99.1,22.226,2.778,26.825,2.778,25.004,0,0,4.599
2026-05-14,15:15,61,31.04,22.764,18.624,16.556,14.48,7.76,5.691,4.656,4.139,3.62,25.866,27.972,23.976,19.98,15.984,11.988,6.993,5.994,4.995,3.996,2.997,24.975,20.279,20.693,0,0,0,2.587,99.1,99.1,23.28,4.281,25.866,99.1,20.693,2.587,24.975,2.587,23.28,0,0,4.281
2026-05-14,15:30,62,29.888,21.92,17.932,15.94,13.952,7.472,5.48,4.483,3.985,3.488,24.908,26.936,23.088,19.24,15.392,11.544,6.734,5.772,4.81,3.848,2.886,24.05,19.527,19.926,0,0,0,2.491,99.1,99.1,22.417,4.124,24.908,99.1,19.926,2.491,24.05,2.491,22.417,0,0,4.124
2026-05-14,15:45,63,20.692,15.176,12.416,11.036,9.656,5.173,3.794,3.104,2.759,2.414,17.244,18.648,15.984,13.32,10.656,7.992,4.662,3.996,3.33,2.664,1.998,16.65,13.519,13.795,0,0,0,1.724,99.1,99.1,15.519,2.856,17.244,99.1,13.795,1.724,16.65,1.724,15.519,0,0,2.856
2026-05-14,16:00,64,25.4,18.628,15.24,13.548,11.856,6.35,4.657,3.81,3.387,2.964,21.168,25.684,22.016,18.344,14.676,11.008,6.421,5.504,4.586,3.669,2.752,22.932,16.595,16.934,0,0,0,2.117,99.1,99.1,19.051,3.81,21.168,99.1,16.934,2.117,22.932,2.117,19.051,0,2.188,3.81
2026-05-14,16:15,65,22.316,16.368,13.392,11.904,10.412,5.579,4.092,3.348,2.976,2.603,18.598,22.564,19.34,16.116,12.896,9.672,5.641,4.835,4.029,3.224,2.418,20.147,14.58,14.878,0,0,0,1.86,99.1,99.1,16.738,3.348,18.598,99.1,14.878,1.86,20.147,1.86,16.738,0,1.921,3.348
2026-05-14,16:30,66,24.496,17.964,14.696,13.064,11.428,6.124,4.491,3.674,3.266,2.857,20.412,24.768,21.228,17.692,14.152,10.612,6.192,5.307,4.423,3.538,2.653,22.113,16.003,16.33,0,0,0,2.041,99.1,99.1,18.371,3.674,20.412,99.1,16.33,2.041,22.113,2.041,18.371,0,2.109,3.674
2026-05-14,16:45,67,18.508,13.572,11.104,9.872,8.632,4.627,3.393,2.776,2.468,2.158,15.422,18.712,16.04,13.368,10.692,8.02,4.678,4.01,3.342,2.673,2.005,16.708,12.091,12.338,0,0,0,1.542,99.1,99.1,13.88,2.776,15.422,99.1,12.338,1.542,16.708,1.542,13.88,0,1.594,2.776
2026-05-14,17:00,68,16.296,11.952,9.78,8.692,7.604,4.074,2.988,2.445,2.173,1.901,13.581,24.1,20.66,17.216,13.772,10.328,6.025,5.165,4.304,3.443,2.582,21.519,10.648,10.865,0,0,0,1.358,99.1,99.1,12.223,2.445,13.581,99.1,10.865,1.358,21.519,1.358,12.223,0,8.209,2.445
2026-05-14,17:15,69,15.816,11.596,9.488,8.436,7.38,3.954,2.899,2.372,2.109,1.845,13.179,23.388,20.044,16.704,13.364,10.024,5.847,5.011,4.176,3.341,2.506,20.881,10.332,10.543,0,0,0,1.318,99.1,99.1,11.861,2.372,13.179,99.1,10.543,1.318,20.881,1.318,11.861,0,7.966,2.372
2026-05-14,17:30,70,16.9,12.392,10.14,9.012,7.892,4.225,3.098,2.535,2.253,1.973,14.084,24.992,21.424,17.852,14.284,10.712,6.248,5.356,4.463,3.571,2.678,22.316,11.042,11.267,0,0,0,1.408,99.1,99.1,12.675,2.536,14.084,99.1,11.267,1.408,22.316,1.408,12.675,0,8.514,2.536
2026-05-14,17:45,71,11.348,8.32,6.808,6.052,5.296,2.837,2.08,1.702,1.513,1.324,9.456,16.784,14.384,11.988,9.588,7.192,4.196,3.596,2.997,2.397,1.798,14.984,7.414,7.565,0,0,0,0.946,99.1,99.1,8.511,1.702,9.456,99.1,7.565,0.946,14.984,0.946,8.511,0,5.716,1.702
2026-05-14,18:00,72,5.272,3.868,3.164,2.812,2.46,1.318,0.967,0.791,0.703,0.615,4.394,28.392,24.336,20.28,16.224,12.168,7.098,6.084,5.07,4.056,3.042,25.35,3.445,3.515,-5.928,-5.928,0,0.439,99.1,93.172,3.954,0.792,4.394,99.1,3.515,0.439,25.35,0.439,3.954,0,21.044,0.792
2026-05-14,18:15,73,4.828,3.54,2.896,2.576,2.248,1.207,0.885,0.724,0.644,0.562,4.022,25.988,22.276,18.564,14.852,11.14,6.497,5.569,4.641,3.713,2.785,23.205,3.154,3.218,-5.426,-5.426,0,0.402,93.172,87.746,3.62,0.724,4.022,93.172,3.218,0.402,23.205,0.402,3.62,0,19.263,0.724
2026-05-14,18:30,74,5.88,4.312,3.528,3.136,2.748,1.47,1.078,0.882,0.784,0.687,4.901,31.668,27.144,22.62,18.096,13.572,7.917,6.786,5.655,4.524,3.393,28.275,3.843,3.921,-6.612,-6.612,0,0.49,87.746,81.134,4.411,0.882,4.901,87.746,3.921,0.49,28.275,0.49,4.411,0,23.472,0.882
2026-05-14,18:45,75,4.3,3.152,2.58,2.292,2.008,1.075,0.788,0.645,0.573,0.502,3.583,23.152,19.844,16.536,13.228,9.92,5.788,4.961,4.134,3.307,2.48,20.67,2.809,2.866,-4.834,-4.834,0,0.358,81.134,76.3,3.224,0.646,3.583,81.134,2.866,0.358,20.67,0.358,3.224,0,17.159,0.646
2026-05-14,19:00,76,5.192,3.808,3.112,2.768,2.42,1.298,0.952,0.778,0.692,0.605,4.325,25.648,21.984,18.32,14.656,10.992,6.412,5.496,4.58,3.664,2.748,22.9,3.391,3.46,-5.7,-5.7,0,0.433,76.3,70.6,3.893,0.778,4.325,76.3,3.46,0.433,22.9,0.433,3.893,0,18.661,0.778
